Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,118
V643 Ser (=GSC 0933-0651=ASAS J153602+1107.0),15 36 02.0,+11 06 58,12.5,13.0,2.53,,,TP4,dsu11,,dsu18,,,,,,,,,,
V417 Boo (=GSC 3489-0868=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08,,"JH02,13,16",,FD28,,"dsu19,fd28",fd10,,dsu21,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,,TP2,"TP11,27",,dsu23,,dsu25,,,,,,,,
V645 Ser (=GSC 5018-1085=ASAS J154613-0026.1),15 46 13.5,-00 26 06,12.1,12.6,1.66,,,,pv03,,dsu18,,,,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,TP18,"TP28,29",,,,,,,,,,,,
V1462 Her (=GSC 2043-1201=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87,,,"pv02,dsu02",dsu02,HH10,"dsu12, fd30","fd13, dsu13","dsu11,12; CKH",,,,,,,,
V1116 Her (=GSC 1510-1091),16 30 16.5,+16 55 06,11.5,11.8,2.27,,,dsu06,dsu05,TP15,dsu16,dsu11,dsu14,,,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,dsu10,,PPAK,,,,,,,,,,
V553 Dra (=GSC 4196-1784=VSX J163550.5+661932),16 35 50.5,+66 19 33,13.5,14.0,4.13,SD17,SD17,pv06,,SD08,SD06,SD,SD08,,SD03,SD03,,,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,SD16,,,JH,JH,"JH, YO18",JH,SD10,SD06,SD05,,SD30,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,,pv18,,"SD11, TP10, 11",,,,,,,,,,,
V1502 Her (=GSC 2080-0986=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38,,,pv27,,,dsu17,,SD11,,,,,,,,
V3705 Oph (=GSC 0429-2098=ASAS J175245+0700.7=TYC 429-2098-1 ),17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,,JH,JH,,,,,,,,,
V1513 Her (=GSC 3097-0583=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02,,,,JH,JH,"JH, SD14",JH,dsu14,JH,,,,,,,
"GSC 3104-0010 (=ASASSN-V J182033.14+391001.6)
",18 20 33.1,+39 10 02,13.7,14.1,1.87,,,pv04,AB18,,dsu02,dsu04,dsu10,,,,,,,,
GSC 2623-1174 (= ASASSN-V J182439.29+303218.7),18 24 39.3,+30 32 19,14.3,14.7,1.38,,,,pv07 AB26,,dsu16,dsu10,YO03,SD11,,,,,,,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13.0,2.45,,,pv17,,SD12,,dsu25,SD14,,SD10,,,,,,
V1535 Her (=GSC 2108-1564=ASAS J184744+2313.2),18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,dsu11,dsu12,"dsu18, fd25",fd05,,,,,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,"JVW26,30, JH","JH, JVW10",JH,JH,JH,JH,JH,JH,JH,,,,
V411 Sge (=GSC 1594-2234=ASAS J190724+1901.4),19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,dsu21,,YO23,,,,,,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,,,pv25,,dsu15,,SD06,SD04,,,,,,,
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,JH,JH,JH,JH,,,,,,,,,
V1965 Aql (=GSC 1061-1651=ASAS J194355+0950.5),19 43 54.1,+09 50 29,12.3,12.6,3.29,,,,,,,,,YO01,,,,,,,
GSC 3570-0292 =ASASSN-V J195903.89+504639.4 (multiperiodic),19 59 03.9,+50 46 39,11.5,11.7,2.09,,,,,,fd16,JH,fd11,"JH, fd06, 19","JH, fd06",JH,JH,,,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,,,,,dsu12,,,,,,,,
V2008 Aql (=GSC 1076-0158=ASAS J200812+1050.8),20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,,dsu04,ATOE02; CKH,YO04,,,,,,,
V2013 Aql (=NSVS 14243430),20 11 34.5,+07 51 04,13.0,13.5,2.07,,,,,,pv22,dsu09,dsu10,YO04,SD07,,,,,,
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94,,HH16,dsu07,,,,JH,"SD05,JH14",JH,JH,JH,JH,,,,
V3092 Cyg (=GSC 2696-1396=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13.0,2.47,,,,,,,dsu10,dsu23,,,,,,,,
V490 Aqr (=GSC 0513-0624=VSX J205846.6+014452),20 58 46.7,+01 44 52,12.0,12.3,1.74,,,,,,,dsu11,dsu24,,JH,,,,,,
V601 Vul,21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,,,,,CKH,,,,,,,,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9.0,2.26,,,,,,BVE29,,"dsu11, BVE14",,,,,,,,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,,fd14,,,,,,,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,SD12,,JH,JH,SD05,JH,JH,,,,
GSC 5226-1154,22 26 40.1,-01 38 17,11.1,11.3,1.03,,,,,,,,TP25,,JH,,pv22,,,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,dsu25,dsu14,pv22,,JH,JH,,,,
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,,fd23,TA,,,,,,,
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,,,fd10,,,,,,,,
DY Peg,23 08 51.2,+17 12 56,10.0,10.6,1.75,dsu10,,,,,,,"CKH, fd24",,,CKH,,,,,
V757 Peg (=GSC 1716-1598=NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,,PV09,,,HHU,,,,,
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48,,,,,,,SD,SD08,,,,"SD01, SD15",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,
Purple: multiple pulsation modes (observe on consecutive nights),No priority,,,,,,,,,,,,,,,,,,,,
Blue coordinates: not yet observed,,,,,,,,,,,,,,,,,,,,,
Red: period changes found,Priority!,,,,,,,,,,,,,,,,,,,,
Orange: period changes possible,Priority!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Southern stars,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NSV 323,00 51 15.3,-59 03 56,13.0,13.6,3.51,JH,,,,,,,,JH,JH,JH,JH,,,,
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.20,JH,,,,,,,,JH,JH,JH,JH,,,,
GSC 7004-0394 (=ASAS J012349-3643.7),01 23 49.0,-36 43 42,10.0,10.2,3.07,JH,,,,,,,JH,,,,,,,,
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10.0,2.18,,,,,,,,,,,,,,,,
GSC 7553-0883 (=ASAS J021313-4054.8),02 13 12.7,-40 54 50,12.4,12.8,2.77,JH,,,,,,,JH,JH,JH,JH,JH,,,,
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,JH,,,,,,,,JH,JH,JH,JH,,,,
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14.0,1.80,"JH, SD13",,,,,,,,,SD10,JH,JH,,,,
ZZ Ret (=NSV 1122),03 21 19.1,-66 18 06,13.6,14.2,2.01,,,,,,,,,,,,,,,,
GSC 9158-0919 (=ASAS J032246-7237.8),03 22 45.9,-72 37 46,12.1,12.4,3.11,,,,,,,,,,,,,,,,
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,JH,JH,JH,,,,,,JH,JH,JH,JH,,,,
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,JH,JH,JH,,,,,,JH,JH,JH,JH,,,,
BG Men (=GSC 9492-2623 =ASAS J040320-8342.0),04 03 20.1,-83 41 59,11.9,12.2,2.06,,,,,,,,,,,,,,,,
GSC 5894-0822 (=ASAS J042750-1846.3),04 27 49.6,-18 46 19,11.0,11.3,2.72,,,,,,,,,,,,,,,,
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,,,,,,,,,,,,,,,,
GSC 8077-0922 (=ASAS J045800-4555.6),04 57 59.6,-45 55 33,12.9,13.8,2.47,,,,,,,,,,,,,,,,
GSC 8083-1319 (=ASAS J045801-5011.2),04 58 01.3,-50 11 08,12.7,13.1,2.25,,,,,,,,,,,,,,,,
GSC 5942-675 (=ASAS J061614-1925.3),06 16 14.2,-19 25 16,12.5,13.1,1.80,SD17,,,,,,,,,,,,,,,
GSC 5371-0256 (=ASAS J061729-1202.9),06 17 29.0,-12 02 52,12.1,12.6,1.83,JH,JH,JH,,,,,,,,,,,,,
GSC 5951-2804 (=ASAS J062443-1816.7) -- Non-radial,06 24 42.9,-18 16 43,11.1,11.3,1.60,,,,,,,,,,,,,,,,
GSC 8543-0414 (=ASAS J063245-5748.4),06 32 45.2,-57 48 20,12.5,13.0,2.18,,,,,,,,,,,,,,,,
GSC 5391-0017 (=ASAS J064635-1455.5),06 46 35.1,-14 55 28,12.2,12.9,2.29,,,,,,,,,,,,,,,,
GSC 7636-1969 (=ASAS J065955-4201.2),06 59 54.8,-42 01 15,12.0,12.4,1.95,,,,,,,,,,,,,,,,
GSC 5968-1693 (=ASAS J070529-1705.3) -- change in amplitude?,07 05 29.0,-17 05 18,12.1,12.5,2.16,"JH, SD16",JH,JH,,,,,,,,,,,,,
GSC 8909-1936 (=ASAS J070918-6117.4),07 09 18.0,-61 17 24,11.9,12.2,1.75,,,,,,,,,,,,,,,,
GSC 9179-0864 (=ASAS J071427-6907.6),07 14 27.0,-69 07 36,11.3,11.6,2.32,,,,,,,,,,,,,,,,
