Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
V601 Vul (=GSC 2194-2001=NSVS 8748519),21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,,,"JH10,12",JH17,JH10,"SD20, JH27",SD21,GCJ18,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9.0,2.26,,,,,,JH10,"JH17, FD18+19",JH10,"JH06,21",JH07,,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,JH12,,JH11,"JH21,22,23",JH08,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,MV12,JH17,JH10,SD21,JH07,,
GSC 5226-1154,22 26 40.1,-01 38 17,11.1,11.3,1.03,,,,,,,,,,,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,,"SD15, BW19",SD23,SD24,,
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,,,"BW01,02;AB03","PV07, 23",PV17,PV21
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,MV13,,,AB05,"JH08,12",,
DY Peg,23 08 51.2,+17 12 56,10.0,10.6,1.75,,,,,,,"BW03,BW04,BW22,26,27,29","BW05,06,21",FD07,"PV 24, SD23","SD17,PV22",
V757 Peg (=GSC 1716-1598=NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,SD22,,AB04,"PV24,27, SD23, ",,PV16
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48,,,,,,,SD21,SD21,AB07,SD22,SD19,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,
Purple: multiple pulsation modes (observe on consecutive nights),,,,,,,,,,,,,,,,,
Blue coordinates: not yet observed,,,,,,,,,,,,,,,,,
Red: period changes found,,,,,,,,,,,,,,,,,
Orange: period changes possible,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Southern stars,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NSV 323,00 51 15.3,-59 03 56,13.0,13.6,3.51,,,,,,,,,JH17,,,
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.20,,,,,,,,,JH16,,,
GSC 7004-0394 (=ASAS J012349-3643.7),01 23 49.0,-36 43 42,10.0,10.2,3.07,,,,,,,JH19,,JH15,,,
