Name,RA,DEC,Max,Min,Period_h
V358 Mus (=GSC 9238-0506=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12.0,12.4,2.92
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14.0,2.17
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75
V495 UMa (=GSC 4163-0984=NSVS 2672157),13 03 01.6,+60 01 16,12.7,13.2,1.91
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14.0,14.6,1.52
GSC 4969-0531 (= DDE 135),13 31 40.4,-04 55 21,14.8,15.4,1.42
V1421 Cen (=GSC 7269-0239=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05
QV Vir,14 18 36.7,-06 37 38,14.7,15.2,1.62
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88
V729 Vir (=GSC 0321-0314=ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74
KV Lib,14 46 00.8,-10 13 16,14.1,14.7,1.76
V408 Boo (=GSC 0914-0684=NSVS 10553101),14 47 29.9,+11 58 39,13.3,13.7,1.87
GSC 3043-0463,14 50 07.7,+38 14 56,13.7,14,2.50
EH Lib,14 58 56.0,-00 56 52,9.5,10.0,2.33
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13.0,14.0,1.81
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18
BC UMi (=GSC 4417-0394=VSX J152239.8+741517),15 22 39.8,+74 15 17,12.5,13.0,3.16
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.50
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32
V643 Ser (=GSC 0933-0651=ASAS J153602+1107.0),15 36 02.0,+11 06 58,12.5,13.0,2.53
NSV 7158,15 37 12.8,-19 00 38,14.2,14.6,2.03
GSC 6185-0215 (=CSS_J154132.9-161200),15 41 32.9,-16 12 00,14.6,15.1,1.92
V417 Boo (=GSC 3489-0868=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71
V645 Ser (=GSC 5018-1085=ASAS J154613-0026.1),15 46 13.5,-00 26 06,12.1,12.6,1.66
GSC 3490-0814,15 50 28.5,+45 57 52,12.7,13,1.65
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54
V1462 Her (=GSC 2043-1201=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87
V1116 Her (=GSC 1510-1091),16 30 16.5,+16 55 06,11.5,11.8,2.27
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57
V553 Dra (=GSC 4196-1784=VSX J163550.5+661932),16 35 50.5,+66 19 33,13.5,14.0,4.13
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13
V1051 Ara (=GSC 8729-0957=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72
V1502 Her (=GSC 2080-0986=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81
V3705 Oph (=GSC 0429-2098=ASAS J175245+0700.7=TYC 429-2098-1 ),17 52 45.1,+07 00 41,10.8,11.2,3.51
V1513 Her (=GSC 3097-0583=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02
GSC 1566-2802,18 02 52.5,+21 31 52,13,13.5,1.45
GSC 3104-0010 (=ASASSN-V J182033.14+391001.6),18 20 33.1,+39 10 02,13.7,14.1,1.87
GSC 2623-1174 (= ASASSN-V J182439.29+303218.7),18 24 39.3,+30 32 19,14.3,14.7,1.38
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13.0,2.45
V1535 Her (=GSC 2108-1564=ASAS J184744+2313.2),18 47 43.7,+23 13 13,11.4,11.7,2.35
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84
V411 Sge (=GSC 1594-2234=ASAS J190724+1901.4),19 07 24.0,+19 01 24,10.5,10.8,3.28
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62
V1965 Aql (=GSC 1061-1651=ASAS J194355+0950.5),19 43 54.1,+09 50 29,12.3,12.6,3.29
V6544 Sgr (=GSC 7438-1045=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52
GSC 3570-0292 =ASASSN-V J195903.89+504639.4 (multiperiodic),19 59 03.9,+50 46 39,11.5,11.7,2.09
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24
GSC 1621-1643,20 06 51.6,+17 43 27,11.6,11.9,2.75
V2008 Aql (=GSC 1076-0158=ASAS J200812+1050.8),20 08 12.0,+10 50 48,11.9,12.3,2.08
V2013 Aql (=NSVS 14243430),20 11 34.5,+07 51 04,13.0,13.5,2.07
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94
V3092 Cyg (=GSC 2696-1396=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13.0,2.47
V490 Aqr (=GSC 0513-0624=VSX J205846.6+014452),20 58 46.7,+01 44 52,12.0,12.3,1.74
V601 Vul,21 19 05.3,+27 31 48,12.6,12.9,2.76
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9.0,2.26
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80
GSC 5226-1154,22 26 40.1,-01 38 17,11.1,11.3,1.03
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29
DY Peg,23 08 51.2,+17 12 56,10.0,10.6,1.75
V757 Peg (=GSC 1716-1598=NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48
DW Phe (=GSC 8459-0201=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67
DV Scl (=GSC 7519-0109=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01
